time,dF/F,behavior
52460.547,0.517,idle
52527.2,0.559,idle
52593.861,0.614,idle
52660.517,0.528,idle
52727.179,0.517,idle
52793.833,0.506,idle
52860.489,0.544,idle
52927.152,0.838,idle
52993.805,0.683,idle
53060.468,0.671,idle
53127.123,0.838,idle
53193.784,1.048,idle
53260.437,1.06,idle
53327.098,1.063,idle
53393.751,1.157,idle
53460.408,1.438,idle
53527.066,1.378,idle
53593.727,1.443,idle
53660.382,1.616,idle
53727.039,1.668,idle
53793.697,2,idle
53860.36,1.996,idle
53927.018,1.894,idle
53993.675,1.991,idle
54060.332,2.075,idle
54126.987,2.055,idle
54193.645,1.952,idle
54260.303,2,idle
54326.962,1.953,idle
54393.622,1.95,idle
54460.278,1.747,idle
54526.937,1.765,idle
54593.592,1.763,idle
54660.252,1.784,idle
54726.911,1.723,idle
54793.565,1.539,idle
54860.223,1.445,idle
54926.878,1.501,walking
54993.54,1.642,walking
55060.195,1.623,walking
55126.85,1.642,walking
55193.51,1.65,walking
55260.172,1.688,walking
55326.828,1.788,walking
55393.484,1.815,walking
55460.142,1.881,walking
55526.799,1.818,walking
55593.46,1.792,walking
55660.111,1.793,walking
55726.772,1.908,walking
55793.431,2.077,walking
55860.09,2.195,walking
55926.744,2.155,walking
55993.403,2.186,walking
56060.062,2.181,walking
56126.716,2.161,walking
56193.376,2.26,walking
56260.035,2.452,walking
56326.69,2.641,walking
56393.347,2.817,walking
56460.007,3.042,walking
56526.663,3.304,walking
56593.323,3.411,walking
56659.979,3.461,walking
56726.637,3.554,walking
56793.293,3.629,walking
56859.948,3.673,walking
56926.605,3.743,walking
56993.263,3.578,walking
57059.923,3.703,walking
57126.578,3.641,walking
57193.238,3.556,walking
57259.896,3.505,walking
57326.549,3.258,walking
57393.211,3.016,walking
57459.868,2.775,walking
57526.524,2.576,walking
57593.184,2.436,walking
57659.841,2.543,walking
57726.493,2.332,walking
57793.154,2.091,walking
57859.809,2.107,walking
57926.466,1.971,walking
57993.122,1.992,walking
58059.783,1.833,walking
58126.442,1.981,walking
58193.095,2.027,walking
58259.758,1.906,walking
58326.411,1.867,walking
58393.068,2.145,walking
58459.729,2.179,supported rearing
58526.383,2.121,supported rearing
58593.041,1.995,supported rearing
58659.698,1.718,supported rearing
58726.355,1.727,supported rearing
58793.012,1.738,supported rearing
58859.671,1.536,supported rearing
58926.331,1.536,supported rearing
58992.989,1.572,supported rearing
59059.643,1.488,supported rearing
59126.3,1.356,supported rearing
59192.96,1.331,supported rearing
59259.615,1.524,supported rearing
59326.272,1.683,supported rearing
59392.929,1.506,supported rearing
59459.585,1.36,supported rearing
59526.244,1.477,supported rearing
59592.899,1.638,supported rearing
59659.556,1.859,supported rearing
59726.22,1.94,supported rearing
59792.872,1.892,supported rearing
59859.532,1.946,supported rearing
59926.185,2.044,supported rearing
59992.843,2.001,supported rearing
60059.504,1.974,supported rearing
60126.162,2.065,walking
60192.818,2.076,walking
60259.476,1.844,walking
60326.134,1.458,walking
60392.788,1.242,walking
60459.446,1.27,walking
60526.104,1.006,walking
60592.76,0.836,walking
60659.415,0.438,walking
60726.075,0.113,walking
60792.73,-0.187,walking
60859.392,-0.55,walking
60926.049,-0.953,walking
60992.706,-1.12,walking
61059.361,-1.161,walking
61126.021,-1.506,walking
61192.678,-1.934,walking
61259.334,-2.259,walking
61325.993,-2.351,walking
61392.651,-2.378,walking
61459.307,-2.564,walking
61525.963,-2.398,walking
61592.62,-2.374,walking
61659.275,-2.182,walking
61725.932,-2.031,walking
61792.59,-1.858,walking
61859.248,-1.44,walking
61925.908,-1.209,walking
61992.566,-1.268,walking
62059.222,-1.14,walking
62125.877,-0.943,walking
62192.537,-0.605,walking
62259.192,-0.342,walking
62325.85,-0.025,walking
62392.503,0.072,walking
62459.162,0.336,walking
62525.822,0.359,walking
62592.477,0.482,walking
62659.131,0.557,walking
62725.795,0.647,walking
62792.446,0.654,walking
62859.109,0.671,walking
62925.76,0.632,walking
62992.422,0.943,walking
63059.077,0.855,walking
63125.734,0.936,walking
63192.39,0.929,walking
63259.052,1.061,walking
63325.703,1.017,walking
63392.361,1.035,walking
63459.019,0.828,walking
63525.679,0.777,walking
63592.335,0.566,walking
63658.988,0.467,walking
63725.651,0.563,walking
63792.306,0.603,walking
63858.96,0.491,walking
63925.622,0.409,walking
63992.28,0.121,walking
64058.937,0.032,walking
64125.597,-0.105,walking
64192.254,-0.279,walking
64258.909,-0.62,walking
64325.57,-0.784,walking
64392.229,-0.938,walking
64458.886,-0.877,walking
64525.544,-0.938,walking
64592.201,-0.876,walking
64658.86,-0.949,walking
64725.521,-1.173,walking
64792.174,-1.248,walking
64858.831,-1.151,walking
64925.492,-1.09,walking
64992.148,-1.043,walking
65058.806,-1.077,walking
65125.467,-1.179,walking
65192.127,-1.059,walking
65258.783,-0.701,walking
65325.442,-0.563,walking
65392.099,-0.567,walking
65458.759,-0.722,walking
65525.419,-0.838,walking
65592.076,-0.914,supported rearing
65658.732,-0.867,supported rearing
65725.391,-1.016,supported rearing
65792.049,-0.994,supported rearing
65858.707,-1.226,supported rearing
65925.363,-1.171,supported rearing
65992.022,-1.176,supported rearing
66058.678,-1.112,supported rearing
66125.336,-1.096,supported rearing
66191.995,-1.196,walking
66258.652,-1.571,walking
66325.313,-1.608,walking
66391.969,-1.634,walking
66458.632,-1.481,walking
66525.289,-1.466,walking
66591.945,-1.434,walking
66658.605,-1.49,walking
66725.258,-1.417,walking
66791.917,-1.389,walking
66858.581,-1.43,walking
66925.234,-1.434,walking
66991.894,-1.433,walking
67058.554,-1.363,walking
67125.21,-1.291,walking
67191.866,-1.165,walking
67258.525,-0.976,walking
67325.186,-0.943,walking
67391.843,-0.809,walking
67458.501,-0.832,walking
67525.155,-0.711,walking
67591.817,-0.62,walking
67658.478,-0.536,walking
67725.131,-0.533,walking
67791.788,-0.546,walking
67858.448,-0.56,walking
67925.105,-0.659,walking
67991.767,-0.601,walking
68058.426,-0.779,walking
68125.082,-0.813,walking
68191.742,-0.835,walking
68258.394,-0.703,walking
68325.058,-0.628,walking
68391.712,-0.568,walking
68458.362,-0.295,walking
68525.034,-0.208,walking
68591.685,-0.174,walking
68658.349,-0.155,walking
68725.002,0.087,walking
68791.662,0.066,walking
68858.321,0.317,walking
68924.98,0.419,walking
68991.634,0.453,walking
69058.291,0.818,walking
69124.952,1.005,walking
69191.611,1.151,walking
69258.267,1.161,walking
69324.929,1.228,walking
69391.586,1.173,walking
69458.244,1.153,walking
69524.902,1.088,walking
69591.556,1.117,walking
69658.218,1.146,walking
69724.877,1.154,walking
69791.532,1.358,walking
69858.19,1.322,walking
69924.846,1.399,walking
69991.507,1.428,walking
70058.164,1.33,walking
70124.823,1.416,walking
70191.48,1.466,walking
70258.14,1.436,walking
70324.797,1.354,walking
70391.455,1.379,walking
70458.113,1.211,walking
70524.768,1.184,walking
70591.429,0.97,walking
70658.087,0.891,walking
70724.749,0.825,walking
70791.405,0.919,walking
70858.059,0.935,walking
70924.718,0.948,walking
70991.378,0.913,walking
71058.035,0.994,walking
71124.694,0.884,walking
71191.35,0.862,walking
71258.007,0.865,walking
71324.67,0.823,walking
71391.324,0.887,walking
71457.984,0.98,walking
71524.645,1.024,walking
71591.298,1.321,walking
71657.96,1.475,walking
71724.613,1.592,walking
71791.271,1.419,walking
71857.929,1.337,walking
71924.593,1.258,walking
71991.245,1.392,walking
72057.908,1.455,walking
72124.564,1.506,walking
72191.224,1.391,walking
